,Company,TypeName,Inches,ScreenResolution,Cpu,Ram,Memory(in GB),Gpu,OpSys,Weight,Price
160,Lenovo,Gaming,15.6,IPS Panel Full HD 1920x1080,Intel Core i5 7300HQ 2.5GHz,8GB,256 SSD,Nvidia GeForce GTX 1050,No OS,2.4kg,41505.12
161,Acer,Ultrabook,13.3,IPS Panel Full HD 1920x1080,Intel Core i5 7Y54 1.2GHz,8GB,256 SSD,Intel HD Graphics 615,Windows 10,1.12kg,52693.92
162,Lenovo,2 in 1 Convertible,14,Touchscreen 2560x1440,Intel Core i7 7500U 2.7GHz,16GB,1000 SSD,Intel HD Graphics 620,Windows 10,1.42kg,150462.72
163,Vero,Notebook,14,IPS Panel Full HD 1920x1080,Intel Celeron Dual Core N3350 1.1GHz,4GB,32 Flash Storage,Intel HD Graphics 500,Windows 10,1.3kg,13852.8
164,Xiaomi,Ultrabook,13.3,IPS Panel Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,8GB,256 SSD,Nvidia GeForce MX150,No OS,1.3kg,53274.672
165,Lenovo,Notebook,17.3,1600x900,Intel Core i5 8250U 1.6GHz,8GB,256 SSD,Nvidia GeForce MX150,No OS,2.8kg,37189.44
166,Dell,2 in 1 Convertible,13.3,IPS Panel Full HD / Touchscreen 1920x1080,Intel Core i7 8550U 1.8GHz,8GB,1000 HDD,Intel UHD Graphics 620,Windows 10,1.62kg,44701.92
167,HP,Notebook,17.3,IPS Panel Full HD 1920x1080,Intel Core i5 8250U 1.6GHz,8GB,1000 HDD,Nvidia GeForce 930MX,Windows 10,2.5kg,48697.92
168,Razer,Gaming,17.3,4K Ultra HD / Touchscreen 3840x2160,Intel Core i7 7820HK 2.9GHz,32GB,1000 SSD,Nvidia GeForce GTX 1080,Windows 10,3.49kg,324954.72
169,HP,Notebook,13.3,Full HD 1920x1080,Intel Core i5 8250U 1.6GHz,8GB,512 SSD,Intel UHD Graphics 620,Windows 10,1.49kg,51095.52
170,HP,Notebook,17.3,Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,8GB,256 SSD,Nvidia GeForce 930MX ,Windows 10,2.5kg,55677.6
171,Lenovo,Notebook,15.6,1366x768,Intel Core i5 6200U 2.3GHz,4GB,128 SSD,Intel HD Graphics 520,Windows 10,2.1kg,26267.04
172,Acer,Notebook,15.6,Full HD 1920x1080,Intel Core i7 7500U 2.7GHz,8GB,1000 HDD,Nvidia GeForce 940MX,Windows 10,2.23kg,39533.76
173,Lenovo,Gaming,15.6,Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,16GB,512 SSD,Nvidia GeForce GTX 1060,No OS,2.4kg,74485.44
174,Dell,Notebook,15.6,Touchscreen 1366x768,Intel Core i3 7100U 2.4GHz,6GB,1000 HDD,Intel HD Graphics 620,Windows 10,2.3kg,23389.92
175,Dell,Ultrabook,13.3,IPS Panel 4K Ultra HD / Touchscreen 3840x2160,Intel Core i7 8550U 1.8GHz,8GB,256 SSD,Intel UHD Graphics 620,Windows 10,1.21kg,103842.72
176,Dell,Ultrabook,13.3,Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,8GB,256 SSD,Intel UHD Graphics 620,Windows 10,1.2kg,77202.72
177,Lenovo,Notebook,15.6,1366x768,Intel Core i5 7200U 2.5GHz,8GB,256 SSD,Intel HD Graphics 620,Windows 10,2.2kg,31808.16
178,Acer,Notebook,15.6,Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,8GB,1000 HDD,Nvidia GeForce GTX 1050,Linux,2.4kg,41505.12
179,HP,Notebook,15.6,Full HD 1920x1080,Intel Core i3 6006U 2GHz,4GB,500 HDD,Intel HD Graphics 520,No OS,2.1kg,18594.72
180,Lenovo,Notebook,15.6,Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,8GB,256 SSD,Intel HD Graphics 620,No OS,2.2kg,29250.72
181,Huawei,Ultrabook,13,IPS Panel Full HD 2160x1440,Intel Core i7 7500U 2.7GHz,8GB,512 SSD,Intel HD Graphics 620,Windows 10,1.05kg,79866.72
182,Dell,Ultrabook,13.3,IPS Panel Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,8GB,256 SSD,AMD Radeon 530,Windows 10,1.4kg,49650.5664
183,Lenovo,Notebook,17.3,1600x900,Intel Core i5 7200U 2.5GHz,8GB,1000 HDD,Nvidia GeForce GTX 940MX,No OS,2.8kg,31381.92
184,HP,Notebook,14,Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,8GB,256 SSD,Nvidia GeForce 930MX,Windows 10,1.63kg,54931.68
185,Dell,Ultrabook,14,Full HD 1920x1080,Intel Core i5 8250U 1.6GHz,8GB,256 SSD,Intel UHD Graphics 620,Windows 10,1.6kg,61218.72
186,Dell,2 in 1 Convertible,13.3,Full HD / Touchscreen 1920x1080,Intel Core i7 8550U 1.8GHz,16GB,512 SSD,Intel UHD Graphics 620,Windows 10,1.62kg,68145.12
187,Dell,Notebook,15.6,Full HD 1920x1080,Intel Core i5 8250U 1.6GHz,8GB,256 SSD,AMD Radeon 520,Linux,2.2kg,36089.208
188,Lenovo,2 in 1 Convertible,14,IPS Panel Full HD 1920x1080,Intel Core i5 8250U 1.6GHz,8GB,256 SSD,Intel UHD Graphics 620,Windows 10,1.74kg,47898.72
189,Toshiba,Ultrabook,13.3,Full HD 1920x1080,Intel Core i7 6500U 2.5GHz,8GB,256 SSD,Intel HD Graphics 520,Windows 10,1.2kg,72620.64
190,HP,Notebook,15.6,Full HD 1920x1080,Intel Core i5 8250U 1.6GHz,8GB,1000 HDD,Intel UHD Graphics 620,Windows 10,2.1kg,42304.32
191,Acer,Notebook,15.6,Full HD 1920x1080,Intel Core i7 7500U 2.7GHz,8GB,256 SSD,Nvidia GeForce 940MX,Windows 10,2.2kg,44328.96
192,Dell,Notebook,15.6,Full HD / Touchscreen 1920x1080,Intel Core i7 7500U 2.7GHz,16GB,1000 HDD,AMD Radeon R7 M445,Windows 10,2.3kg,45768.0528
193,Asus,Notebook,15.6,Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,8GB,256 SSD,Nvidia GeForce 920MX ,Windows 10,2kg,40972.32
194,HP,Notebook,15.6,Full HD 1920x1080,Intel Core i7 7500U 2.7GHz,8GB,1000 HDD,AMD FirePro W4190M ,Windows 10,1.9kg,67612.32
195,Asus,Notebook,15.6,1366x768,Intel Core i3 7100U 2.4GHz,4GB,1000 HDD,Intel HD Graphics 620,Windows 10,2.37kg,21258.1872
196,HP,Notebook,15.6,1366x768,AMD E-Series 9000e 1.5GHz,4GB,500 HDD,AMD Radeon R2,Windows 10,2.1kg,17582.4
197,Dell,Notebook,14,Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,8GB,256 SSD,Intel HD Graphics 620,Windows 10,1.6kg,45767.52
198,Acer,2 in 1 Convertible,13.3,IPS Panel Full HD / Touchscreen 1920x1080,Intel Core i5 6200U 2.3GHz,8GB,256 SSD,Intel HD Graphics 520,Windows 10,1.6kg,36709.92
199,Dell,Notebook,15.6,Full HD 1920x1080,Intel Core i7 7500U 2.7GHz,16GB,256 SSD,AMD Radeon R7 M445,Linux,2.36kg,47898.72
200,Acer,Notebook,15.6,1366x768,Intel Core i3 6006U 2GHz,4GB,1000 HDD,Intel HD Graphics 520,Linux,2.1kg,20779.2
201,Acer,Gaming,15.6,IPS Panel Full HD 1920x1080,Intel Core i5 7300HQ 2.5GHz,8GB,256 SSD,Nvidia GeForce GTX 1050,Windows 10,2.5kg,45074.88
202,Lenovo,Notebook,15.6,1366x768,Intel Core i3 6006U 2GHz,8GB,128 SSD,Intel HD Graphics 520,Windows 10,2.2kg,31381.92
203,Dell,Gaming,15.6,Full HD 1920x1080,Intel Core i5 7300HQ 2.5GHz,8GB,256 SSD,Nvidia GeForce GTX 1050,Windows 10,2.56kg,46833.12
204,Lenovo,2 in 1 Convertible,13.9,IPS Panel Full HD / Touchscreen 1920x1080,Intel Core i7 7500U 2.7GHz,8GB,256 SSD,Intel HD Graphics 620,Windows 10,1.38kg,57489.12
205,HP,Notebook,15.6,Touchscreen 1366x768,Intel Core i5 7200U 2.5GHz,8GB,1000 HDD,Intel HD Graphics 620,Windows 10,2.04kg,29783.52
206,Asus,Gaming,17.3,Full HD 1920x1080,Intel Core i7 7820HK 2.9GHz,16GB,256 SSD,Nvidia GeForce GTX 1080,Windows 10,3.6kg,159786.72
207,HP,Notebook,13.3,IPS Panel Full HD 1920x1080,Intel Core i5 8250U 1.6GHz,4GB,500 HDD,Intel UHD Graphics 620,Windows 10,1.49kg,35964
208,Apple,Ultrabook,13.3,IPS Panel Retina Display 2560x1600,Intel Core i5 3.1GHz,8GB,512 SSD,Intel Iris Plus Graphics 650,macOS,1.37kg,108691.2
209,Dell,2 in 1 Convertible,15.6,IPS Panel Full HD / Touchscreen 1920x1080,Intel Core i7 8550U 1.8GHz,8GB,1000 HDD,Intel UHD Graphics 620,Windows 10,2.08kg,43636.32
210,Asus,Notebook,15.6,1366x768,AMD A9-Series 9420 3GHz,4GB,1000 HDD,AMD Radeon R5 M420,Windows 10,1.68kg,24988.32
211,Lenovo,2 in 1 Convertible,13.9,IPS Panel Full HD / Touchscreen 1920x1080,Intel Core i7 8550U 1.8GHz,8GB,512 SSD,Intel UHD Graphics 620,Windows 10,1.37kg,98514.72
212,Acer,Notebook,17.3,IPS Panel Full HD 1920x1080,Intel Core i3 7130U 2.7GHz,4GB,256 SSD,Nvidia GeForce MX130,Windows 10,3kg,37402.56
213,Dell,Ultrabook,13.3,Full HD 1920x1080,Intel Core i5 8250U 1.6GHz,8GB,256 SSD,Intel UHD Graphics 620,Windows 10,1.41kg,50562.72
214,HP,Notebook,15.6,1366x768,AMD A6-Series A6-9220 2.5GHz,8GB,128 SSD,AMD Radeon R4 Graphics,Windows 10,1.91kg,23757.552
215,HP,Notebook,17.3,IPS Panel Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,16GB,1000 HDD,Nvidia GeForce MX150,Windows 10,2.9kg,56423.52
216,Lenovo,2 in 1 Convertible,15.6,IPS Panel Full HD / Touchscreen 1920x1080,Intel Core i7 7700HQ 2.8GHz,8GB,512 SSD,Nvidia GeForce GTX 1050M,Windows 10,2kg,90522.72
217,Lenovo,Notebook,15.6,Full HD 1920x1080,Intel Core i3 6006U 2GHz,4GB,256 SSD,Intel HD Graphics 520,No OS,2.2kg,23656.32
218,HP,Notebook,15.6,IPS Panel Full HD 1920x1080,Intel Core i5 8250U 1.6GHz,4GB,500 HDD,Intel HD Graphics 620,Windows 10,2.1kg,38468.16
219,Dell,Notebook,15.6,Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,4GB,1000 HDD,Intel HD Graphics 620,Windows 10,2.18kg,35004.96
220,Dell,Notebook,15.6,Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,8GB,1000 HDD,AMD Radeon R5 M430,Windows 10,2.24kg,30103.2
221,Dell,2 in 1 Convertible,15.6,Full HD / Touchscreen 1920x1080,Intel Core i5 8250U 1.6GHz,8GB,256 SSD,Intel UHD Graphics 620,Windows 10,2.67kg,42570.72
222,Lenovo,Notebook,15.6,Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,4GB,1000 HDD,Intel HD Graphics 620,No OS,2.2kg,24881.76
223,HP,Notebook,17.3,Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,8GB,1000 HDD,Nvidia GeForce 930MX ,Windows 10,2.5kg,54239.04
224,Lenovo,Notebook,15.6,Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,8GB,256 SSD,Intel UHD Graphics 620,Windows 10,2.05kg,46886.4
225,Apple,Ultrabook,13.3,IPS Panel Retina Display 2560x1600,Intel Core i5 2.9GHz,8GB,512 SSD,Intel Iris Graphics 550,macOS,1.37kg,104370.192
226,Dell,Notebook,15.6,Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,8GB,256 SSD,AMD Radeon 520,Linux,2.14kg,39164.5296
227,Lenovo,2 in 1 Convertible,14,Touchscreen 2560x1440,Intel Core i7 6600U 2.6GHz,16GB,512 SSD,Intel HD Graphics 520,Windows 10,1.36kg,133146.72
228,Toshiba,Notebook,15.6,1366x768,Intel Core i7 6500U 2.5GHz,8GB,500 HDD,Nvidia GeForce 930M,Windows 10,2.2kg,43263.36
229,Dell,Notebook,15.6,1366x768,Intel Core i7 7500U 2.7GHz,12GB,1000 HDD,Intel HD Graphics 620,Windows 10,2.3kg,37992.3696
230,Acer,Notebook,15.6,IPS Panel Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,8GB,1000 HDD,Nvidia GeForce MX130,Windows 10,2.2kg,39693.6
231,Lenovo,Notebook,17.3,1600x900,Intel Core i3 6006U 2GHz,4GB,1000 HDD,Intel HD Graphics 520,Windows 10,2.8kg,26053.92
232,Lenovo,Notebook,17.3,Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,8GB,2000 HDD,Nvidia GeForce MX150,No OS,2.8kg,45234.72
233,Dell,Notebook,15.6,Full HD 1920x1080,Intel Core i3 6006U 2.0GHz,4GB,1000 HDD,AMD Radeon R5 M430,Linux,2.25kg,22803.84
234,Lenovo,Gaming,15.6,IPS Panel Full HD 1920x1080,Intel Core i5 7300HQ 2.5GHz,8GB,256 SSD,Nvidia GeForce GTX 1050,Windows 10,2.5kg,44169.12
235,Lenovo,Notebook,15.6,Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,6GB,256 SSD,Intel HD Graphics 620,Windows 10,2.2kg,30849.12
236,Acer,Notebook,15.6,IPS Panel Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,8GB,256 SSD,Nvidia GeForce MX150,Windows 10,3kg,50669.28
237,Acer,Notebook,15.6,IPS Panel Full HD / Touchscreen 1920x1080,Intel Core i7 7500U 2.7GHz,12GB,1000 HDD,Intel HD Graphics 620,Windows 10,2.15kg,35111.52
238,Lenovo,Notebook,15.6,IPS Panel Full HD 1920x1080,Intel Core i7 7500U 2.7GHz,8GB,256 SSD,Intel HD Graphics 630,Windows 10,1.95kg,58448.16
239,Asus,Ultrabook,15.6,Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,8GB,256 SSD,Nvidia GeForce 940MX,Windows 10,1.7kg,52054.56
240,Lenovo,Notebook,15.6,Full HD 1920x1080,Intel Core i7 7500U 2.7GHz,8GB,1000 HDD,Nvidia GeForce 940MX,No OS,2.2kg,35112.0528
241,Acer,Notebook,15.6,1366x768,Intel Celeron Dual Core 3205U 1.5GHz,2GB,16 SSD,Intel HD Graphics,Chrome OS,2.19kg,10602.72
242,Asus,Gaming,17.3,Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,8GB,1000 HDD,Nvidia GeForce GTX 1050,Windows 10,3kg,63243.36
243,HP,Notebook,17.3,1600x900,Intel Core i3 6006U 2GHz,8GB,1000 HDD,Intel HD Graphics 520,Windows 10,2.54kg,26053.92
244,Dell,Notebook,15.6,Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,8GB,256 SSD,Nvidia GeForce GTX 1050,Windows 10,2kg,97449.12
245,Lenovo,Notebook,15.6,Full HD 1920x1080,Intel Core i5 8250U 1.6GHz,8GB,256 SSD,Intel UHD Graphics 620,Windows 10,2.05kg,39373.92
246,Lenovo,Gaming,15.6,IPS Panel Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,8GB,1000 HDD,Nvidia GeForce GTX 1060,Windows 10,3.2kg,69210.72
247,Acer,Notebook,15.6,Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,8GB,256 SSD,Nvidia GeForce GTX 1050 Ti,Linux,2.5kg,52161.12
248,Dell,Workstation,17.3,Full HD 1920x1080,Intel Core i7 7820HQ 2.9GHz,16GB,256 SSD,Nvidia Quadro M1200,Windows 10,3.42kg,153705.3408
249,Lenovo,Notebook,15.6,Full HD 1920x1080,AMD A10-Series 9600P 2.4GHz,6GB,1000 HDD,AMD Radeon R5 430,Windows 10,2.4kg,26586.72
250,Asus,Ultrabook,15.6,Full HD 1920x1080,Intel Core i7 7500U 2.7GHz,16GB,512 SSD,Nvidia GeForce 940MX,Windows 10,1.63kg,78215.04
251,Asus,Notebook,14,1366x768,Intel Core i3 7100U 2.4GHz,4GB,128 SSD,Intel HD Graphics 620,Windows 10,1.3kg,27119.52
252,Lenovo,Notebook,17.3,1600x900,Intel Core i5 7200U 2.5GHz,6GB,1000 HDD,Nvidia GeForce GTX 940M,Windows 10,2.8kg,34578.72
253,Lenovo,Notebook,15.6,1366x768,Intel Core i5 7200U 2.5GHz,8GB,2000 HDD,Nvidia GeForce 940MX,No OS,2.2kg,29250.72
254,Lenovo,Notebook,15.6,1366x768,Intel Pentium Quad Core N4200 1.1GHz,4GB,1000 HDD,Intel HD Graphics 505,No OS,2.2kg,19180.2672
255,HP,2 in 1 Convertible,13.3,Full HD / Touchscreen 1920x1080,Intel Core i7 7600U 2.8GHz,16GB,256 SSD,Intel HD Graphics 620,Windows 10,1.28kg,105228
256,Toshiba,Notebook,15.6,IPS Panel Full HD 1920x1080,Intel Core i7 6500U 2.5GHz,8GB,256 SSD,Nvidia GeForce 930M,Windows 10,2.2kg,55571.04
257,HP,Notebook,15.6,Full HD 1920x1080,Intel Core i3 6006U 2GHz,4GB,1000 HDD,Intel HD Graphics 520,Windows 10,1.86kg,24988.32
258,Lenovo,Notebook,13.3,IPS Panel Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,8GB,256 SSD,Intel HD Graphics 620,Windows 10,1.1kg,53226.72
259,Dell,Ultrabook,13.3,IPS Panel 4K Ultra HD / Touchscreen 3840x2160,Intel Core i7 8550U 1.8GHz,16GB,1000 SSD,Intel UHD Graphics 620,Windows 10,1.21kg,133146.72
260,Acer,Notebook,15.6,Full HD 1920x1080,AMD A8-Series 7410 2.2GHz,8GB,256 SSD,AMD Radeon R5,Windows 10,2.23kg,24988.32
261,Asus,2 in 1 Convertible,11.6,Touchscreen 1366x768,Intel Celeron Dual Core N3350 1.1GHz,2GB,32 Flash Storage,Intel HD Graphics 500,Windows 10,1.1kg,14652
262,HP,2 in 1 Convertible,13.3,IPS Panel 4K Ultra HD / Touchscreen 3840x2160,Intel Core i7 8550U 1.8GHz,16GB,1000 SSD,Intel UHD Graphics 620,Windows 10,1.29kg,130482.72
263,Lenovo,Notebook,13.3,1366x768,Intel Celeron Dual Core 3855U 1.6GHz,4GB,16 Flash Storage,Intel HD Graphics 510,Chrome OS,1.45kg,24503.472
264,HP,Notebook,14,Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,8GB,256 SSD,Intel HD Graphics 620,Windows 10,1.95kg,52214.4
265,Acer,Notebook,11.6,1366x768,Intel Pentium Quad Core N3710 1.6GHz,4GB,128 Flash Storage,Intel HD Graphics 405,Windows 10,1.4kg,25840.8
266,HP,Notebook,14,Full HD 1920x1080,Intel Core i7 7500U 2.7GHz,8GB,256 SSD,Intel HD Graphics 620,Windows 10,1.48kg,68837.76
267,Lenovo,Notebook,17.3,1600x900,Intel Core i5 7200U 2.5GHz,4GB,1000 HDD,Nvidia GeForce 920MX,Windows 10,2.79kg,31381.92
268,Asus,Notebook,14,Full HD 1920x1080,Intel Core i7 7500U 2.7GHz,8GB,256 SSD,Intel HD Graphics 620,Windows 10,2kg,58288.32
269,HP,Notebook,15.6,IPS Panel Full HD 1366x768,Intel Core i7 8550U 1.8GHz,8GB,1000 HDD,Intel UHD Graphics 620,Windows 10,2.1kg,48058.56
270,Acer,Notebook,15.6,1366x768,AMD A12-Series 9720P 2.7GHz,8GB,256 SSD,AMD Radeon RX 540,Windows 10,2.2kg,35111.52
271,Lenovo,Notebook,14,1366x768,Intel Celeron Dual Core N3350 1.1GHz,4GB,32 Flash Storage,Intel HD Graphics 500,Windows 10,1.44kg,15557.76
272,Acer,Notebook,15.6,1366x768,Intel Core i5 7200U 2.5GHz,6GB,1000 HDD,Intel HD Graphics 620,Windows 10,2.23kg,29250.72
273,Asus,Ultrabook,15.6,Full HD 1920x1080,Intel Core i7 7500U 2.7GHz,8GB,256 SSD,Nvidia GeForce 940MX,Windows 10,1.7kg,55938.672
274,HP,Ultrabook,12.5,Full HD 1920x1080,Intel Core i7 7500U 2.7GHz,8GB,256 SSD,Intel HD Graphics 620,Windows 10,1.26kg,71128.8
275,Dell,Notebook,15.6,4K Ultra HD / Touchscreen 3840x2160,Intel Core i7 7700HQ 2.8GHz,32GB,1000 SSD,Nvidia GeForce GTX 1050,Windows 10,2.06kg,140605.92
276,Toshiba,Notebook,15.6,IPS Panel Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,8GB,256 SSD,Intel HD Graphics 620,Windows 10,2.0kg,50243.04
277,Lenovo,Notebook,15.6,Full HD 1920x1080,Intel Core i3 6006U 2GHz,4GB,1000 HDD,Intel HD Graphics 520,Windows 10,1.85kg,23922.72
278,Asus,Gaming,15.6,Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,8GB,256 SSD,Nvidia GeForce GTX 1050,Windows 10,2.5kg,53226.72
279,HP,Notebook,14,Full HD 1920x1080,Intel Core i5 7300U 2.6GHz,8GB,256 SSD,Intel HD Graphics 620,Windows 10,1.48kg,67559.04
280,HP,Notebook,15.6,Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,8GB,256 SSD,Intel HD Graphics 620,Windows 10,1.84kg,60952.32
281,Asus,Notebook,15.6,1366x768,Intel Celeron Dual Core N3350 1.1GHz,4GB,1000 HDD,Intel HD Graphics 500,Linux,2kg,14651.4672
282,Dell,Notebook,15.6,Full HD 1920x1080,Intel Core i5 8250U 1.6GHz,8GB,256 SSD,Nvidia GeForce 940MX,Windows 10,2kg,60885.72
283,Dell,Notebook,15.6,1366x768,Intel Celeron Dual Core N3060 1.6GHz,4GB,500 HDD,Intel HD Graphics,Linux,2.2kg,14646.672
284,Lenovo,Notebook,15.6,Full HD 1920x1080,AMD A12-Series 9720P 3.6GHz,12GB,2000 HDD,AMD Radeon 530,Windows 10,2.2kg,47898.72
285,HP,Notebook,15.6,IPS Panel Full HD 1920x1080,Intel Core i3 7100U 2.4GHz,8GB,1000 HDD,Nvidia GeForce 930MX ,Windows 10,2.1kg,38148.48
286,Lenovo,2 in 1 Convertible,13.9,IPS Panel 4K Ultra HD / Touchscreen 3840x2160,Intel Core i7 8550U 1.8GHz,16GB,512 SSD,Intel UHD Graphics 620,Windows 10,1.4kg,111834.72
287,Dell,Ultrabook,13.3,Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,8GB,256 SSD,Intel UHD Graphics 620,Windows 10,1.2kg,84129.12
288,HP,Notebook,14,1366x768,Intel Celeron Dual Core N3060 1.6GHz,2GB,32 Flash Storage,Intel HD Graphics 400,Windows 10,1.44kg,14865.12
289,Asus,2 in 1 Convertible,11.6,Touchscreen 1366x768,Intel Celeron Dual Core N3350 1.1GHz,4GB,32 Flash Storage,Intel HD Graphics 500,Windows 10,1.5kg,19980
290,Dell,Ultrabook,15.6,Full HD 1920x1080,Intel Core i5 8250U 1.6GHz,8GB,1000 HDD,AMD Radeon 530,Windows 10,1.9kg,35324.64
291,Dell,Notebook,15.6,4K Ultra HD / Touchscreen 3840x2160,Intel Core i7 7700HQ 2.8GHz,16GB,512 SSD,Nvidia GeForce GTX 1050,Windows 10,2.06kg,108020.9376
292,HP,Notebook,15.6,Full HD 1920x1080,Intel Core i7 7500U 2.7GHz,8GB,256 SSD,Intel HD Graphics 620,Windows 10,1.84kg,69477.12
293,HP,Workstation,15.6,Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,8GB,256 SSD,Nvidia Quadro M1200,Windows 10,2.6kg,92615.0256
294,Toshiba,Notebook,15.6,IPS Panel Full HD 1920x1080,Intel Core i7 6500U 2.5GHz,16GB,512 SSD,Nvidia GeForce 930M,Windows 10,2.4kg,74751.84
295,Lenovo,Notebook,15.6,1366x768,Intel Celeron Dual Core N3350 1.1GHz,4GB,1000 HDD,Intel HD Graphics 500,No OS,2.2kg,17155.6272
296,Dell,Gaming,15.6,Full HD 1920x1080,Intel Core i5 7300HQ 2.5GHz,8GB,1000 HDD,Nvidia GeForce GTX 1050,Windows 10,2.65kg,53226.72
297,Dell,Notebook,15.6,Touchscreen 1366x768,Intel Core i5 7200U 2.5GHz,8GB,2000 HDD,Intel HD Graphics 620,Windows 10,2.36kg,29696.6736
298,Dell,Notebook,14,Full HD 1920x1080,Intel Core i5 7300U 2.6GHz,8GB,256 SSD,Intel HD Graphics 620,Windows 10,1.36kg,76030.56
299,HP,Notebook,15.6,1366x768,Intel Core i3 6006U 2GHz,4GB,500 HDD,Intel HD Graphics 520,Windows 10,1.86kg,23389.92
300,Asus,Notebook,14,Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,8GB,256 SSD,Intel HD Graphics 620,Windows 10,2kg,50349.6
301,HP,Notebook,15.6,Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,8GB,1000 HDD,Intel HD Graphics 620,Windows 10,1.86kg,34045.92
302,Lenovo,Notebook,15.6,1366x768,Intel Core i3 6006U 2GHz,8GB,256 SSD,Nvidia GeForce 920MX ,No OS,2.2kg,26586.72
303,HP,Notebook,15.6,1366x768,Intel Pentium Quad Core N3710 1.6GHz,8GB,2000 HDD,Intel HD Graphics 405,Windows 10,2.04kg,20725.92
304,Dell,Notebook,15.6,Full HD 1920x1080,Intel Core i7 7500U 2.7GHz,8GB,256 SSD,AMD Radeon R7 M445,Windows 10,2.33kg,47898.72
305,HP,Ultrabook,14,IPS Panel Full HD 1920x1080,Intel Core i7 7500U 2.7GHz,8GB,256 SSD,Intel HD Graphics 620,Windows 10,1.36kg,93240
306,Acer,Notebook,15.6,1366x768,AMD A9-Series 9420 3GHz,4GB,128 SSD,AMD Radeon R5,Windows 10,2.1kg,22697.28
307,Lenovo,Notebook,17.3,1600x900,AMD A8-Series 7410 2.2GHz,4GB,128 SSD,AMD Radeon R5,Windows 10,2.6kg,26053.92
308,Dell,2 in 1 Convertible,13.3,Full HD / Touchscreen 1920x1080,Intel Core i7 8550U 1.8GHz,8GB,256 SSD,Intel UHD Graphics 620,Windows 10,1.62kg,46300.8528
309,HP,Notebook,15.6,Full HD 1920x1080,AMD A9-Series 9420 3GHz,4GB,256 SSD,AMD Radeon R5,Windows 10,1.91kg,26053.3872
310,Lenovo,Netbook,11.6,IPS Panel 1366x768,Intel Celeron Quad Core N3450 1.1GHz,4GB,128 SSD,Intel HD Graphics 500,Windows 10,1.59kg,29463.84
311,Dell,Notebook,15.6,1366x768,Intel Celeron Dual Core N3060 1.60GHz,4GB,500 HDD,Intel HD Graphics 400,Windows 10,1.8kg,16463.52
312,Asus,Notebook,14,1366x768,Intel Celeron Dual Core N3350 1.1GHz,4GB,32 Flash Storage,Intel HD Graphics 500,Windows 10,1.5kg,15238.08
313,Acer,Notebook,15.6,Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,8GB,1000 HDD,Nvidia GeForce GTX 1050,Linux,2.4kg,45074.88
314,Lenovo,Notebook,15.6,Full HD 1920x1080,Intel Core i3 6006U 2GHz,4GB,128 SSD,Intel HD Graphics 520,No OS,1.85kg,21498.48
315,Lenovo,Notebook,14,IPS Panel Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,8GB,256 SSD,Nvidia GeForce 940MX,Windows 10,1.5kg,58554.72
316,Asus,Ultrabook,13.3,Full HD / Touchscreen 1920x1080,Intel Core i7 7500U 2.7GHz,16GB,512 SSD,Intel HD Graphics 620,Windows 10,1.1kg,93181.392
317,Lenovo,Ultrabook,14,IPS Panel 2560x1440,Intel Core i7 7500U 2.7GHz,8GB,512 SSD,Intel HD Graphics 620,Windows 10,1.13kg,121584.96
